Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,222.09,12.72,783.68,21.70,15.89,17.75,108.72,2.04,205.30,8.42,1.75,0.71,0.34,4.99,8.00,7.39,17.15,17.23,17.64,1.04,58.93,3.53,267.48,898.50,0.00,45.04,11.40,98.43,6.00,10.35
3M India,523395,3MINDIA,Diversified - Large,29680.00,60.24,33449.36,33.04,476.05,24.81,1478.47,20.07,4049.32,75.83,2.19,5.66,0.01,23.24,9.00,13.64,17.50,492.91,14.24,1.52,63.12,1.13,3800.52,32832.21,0.00,75.00,2.31,1183.71,3.00,16.97
A B B,500002,ABB,Electric Equipment,5820.00,65.28,123330.67,38.65,88.33,28.82,333.90,17.43,817.94,94.32,2.04,1.62,0.01,18.93,8.00,15.39,20.68,89.05,44.87,1.70,89.35,21.19,1569.54,117874.73,0.00,75.00,2.16,2880.54,3.00,16.04
Action Const.Eq.,532762,ACE,Engineering,1259.00,38.53,14992.57,42.30,27.56,30.58,116.19,10.84,292.27,27.53,1.33,0.90,0.08,13.56,8.00,11.28,33.41,32.67,35.65,0.76,20.58,11.91,766.47,15042.38,0.00,65.41,3.70,565.25,6.00,17.44
Adani Power,533096,ADANIPOWER,Power Generation And Supply,565.50,17.11,218109.90,22.52,33.55,25.63,146.09,3.87,332.07,15.46,1.60,0.26,0.70,5.08,8.00,22.68,26.58,33.55,27.70,1.40,84.57,385.69,458.30,251484.89,1.81,74.96,7.83,26713.17,4.00,12.44
AGI Greenpac,500187,AGI,Packaging,837.10,16.80,5415.82,20.13,49.84,16.48,324.24,2.58,602.98,13.98,1.71,0.36,0.26,4.77,9.00,12.75,20.94,49.84,22.86,1.17,57.21,6.47,508.37,5604.89,0.00,60.24,9.13,744.84,5.00,9.41
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,5221.00,28.87,62424.89,19.68,150.19,19.56,961.22,5.43,1973.52,29.07,2.66,1.45,0.13,8.59,9.00,15.08,12.63,180.08,30.75,1.97,64.91,11.96,2339.51,61950.54,0.00,55.13,4.25,3997.09,0.00,13.02
Amal,506597,,Chemicals,535.05,22.58,661.46,35.95,23.69,34.65,80.23,6.67,206.80,85.39,1.89,0.83,0.00,12.08,9.00,21.64,46.00,23.69,29.91,1.61,26.84,1.24,444.30,658.05,0.00,71.35,5.27,32.30,5.00,25.69
Amines & Plast.,506248,AMNPLST,Chemicals,209.97,28.08,1155.25,23.30,7.24,19.78,42.86,4.90,84.91,20.15,2.20,1.45,0.34,7.98,9.00,6.16,13.55,7.48,29.91,1.37,55.25,5.50,105.68,1198.70,0.00,73.17,5.49,10.86,2.00,10.86
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,703.35,40.00,2033.43,22.41,17.58,16.53,112.97,6.23,211.40,41.41,3.44,2.64,0.01,11.01,8.00,11.25,3.64,17.58,37.12,3.11,45.09,2.89,343.34,1952.35,0.00,46.52,3.55,48.09,3.00,12.90
Anuh Pharma,506260,ANUHPHR,Pharmaceuticals - Indian - Bulk Drugs,180.68,18.02,905.42,25.58,11.99,19.49,60.49,2.99,116.82,18.37,2.43,0.96,0.05,6.80,8.00,8.02,14.42,10.03,26.98,1.88,107.16,5.01,159.68,914.07,0.00,69.92,7.02,87.71,4.00,12.20
Arrow Greentech,516064,ARROWGREEN,Plastics Products,605.75,14.50,913.95,53.76,41.84,39.99,124.78,4.85,342.74,23.80,10.34,0.27,0.00,11.61,9.00,25.89,93.34,41.84,26.80,8.97,43.96,1.51,1144.94,868.82,0.00,64.81,9.92,67.78,6.00,35.62
Aryaman Capital,538716,,Finance & Investments,245.00,12.80,293.44,31.67,19.14,38.69,64.61,3.79,166.83,68.42,13.15,0.06,0.36,7.13,8.00,30.74,0.58,19.14,21.48,10.08,1.08,1.20,128.61,271.39,0.00,74.28,11.25,43.29,6.00,22.15
Aspira Pathlab,540788,,Healthcare,53.25,26.48,54.81,17.15,2.01,23.75,11.86,4.49,23.17,21.14,2.26,1.32,0.26,7.96,8.00,9.41,4.03,2.01,48.04,2.05,38.99,1.03,38.67,55.87,0.00,18.39,4.35,2.35,4.00,12.85
B & A Packaging,523186,,Packaging,284.55,11.76,141.14,20.38,23.08,16.69,160.02,1.78,295.13,11.76,3.57,0.62,0.05,5.66,8.00,8.89,9.75,24.19,22.86,2.24,64.07,0.50,312.27,129.83,0.00,72.37,11.98,20.96,3.00,12.23
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,5040.70,43.51,22653.96,33.91,164.77,26.70,685.82,7.35,1337.09,38.29,2.22,2.56,0.01,9.68,9.00,14.55,6.19,115.86,43.51,1.57,68.67,4.49,2295.03,21770.06,0.00,71.43,3.04,1617.10,3.00,16.01
Beacon Trust.,,BEACON,Finance & Investments,78.90,27.62,142.53,42.62,3.64,31.10,24.27,3.25,44.56,28.71,4.19,,0.00,7.01,8.00,24.71,55.16,3.64,21.48,4.19,58.04,1.81,200.09,139.67,0.00,46.15,5.06,2.22,4.00,20.84
Bemco Hydraulics,522650,,Engineering,2160.00,37.67,472.33,23.90,57.35,20.04,320.67,6.74,643.24,26.48,1.32,0.24,0.27,7.82,9.00,12.52,15.19,57.35,35.65,0.93,140.21,0.22,1080.13,482.46,0.00,74.69,4.11,12.12,5.00,9.78
Bharat Electron,500049,BEL,Electronics - Components,363.90,53.30,266002.85,34.61,5.45,26.27,24.16,15.06,60.93,21.43,1.62,3.33,0.00,12.84,9.00,19.57,12.83,6.83,73.22,1.17,133.13,730.98,89.55,257747.41,0.00,51.14,2.57,8286.06,5.00,10.57
