Company,Ticker
20 Microns,20MICRONS.NS
21st Cent. Mgmt.,21STCENMGM.NS
3B Blackbio,3BBLACKBIO.BO
3M India,3MINDIA.BO
A B B,AMBZ
Abbott India,ABBOTINDIA.BO
ABS Marine,ABSMARINE-ST.NS
Accelya Solution,ACCELYA.NS
Accent Microcell,ACCENTMIC-SM.NS
Adani Power,ADANIPOWER.NS
ADC India,ADCINDIA.BO
Aditya Ultra,AUSL-ST.NS
Aditya Vision,AVL.BO
Advait Energy,ADVAIT.BO
Advani Hotels.,ADVANIHOTR.BO
Aelea,ACLD.BO
Aeroflex,AEROFLEX.BO
Aeron Composites,None
Aesthetik,AESTHETIK-SM.NS
Afcom,AFCOM.BO
AGI Greenpac,AGI.BO
Ahluwalia Contr.,AHLUCONT.BO
Aik Pipes & Poly,AIKPIPES.BO
Aimtron,AIMTRON-SM.NS
Ajanta Pharma,AJANTPHARM.NS
Algoquant Fin,AQFINTECH.BO
Alivus Life,ALIVUS.NS
All E Tech,ALLETEC-SM.NS
Alldigi Tech,ALLDIGI.NS
Alpex Solar,ALPEXSOLAR-SM.NS
Alufluoride,ALUFLUOR.BO
Aluwind Infra,None
Amal,AMAL
Amba Enterprises,AEL.BO
Ameya Precision,AMEYA-SM.NS
Ami Organics,AMIORG.NS
Amic Forging,AMIC.BO
Amines & Plast.,BALAMINES.BO
Amkay Products,AMKAY.BO
Amrutanjan Healt,AMRUTANJAN.NS
Amwill,AMWILL.BO
Anand Rathi Wea.,ANANDRATHI.BO
Annapurna Swadi.,ANNAPURNA-SM.NS
Apex Ecotech,APEXECO-ST.NS
Apis India,APIS.BO
Aprameya Enginee,APRAMEYA-SM.NS
Arabian Petrol.,ARABIAN-SM.NS
Arham Tech,ARHAM-SM.NS
Arkade,ARKADE.NS
Arrow Greentech,ARROWGREEN.BO
Aryaman Capital,ARYACAPM.BO
Aryaman Fin.Serv,None
Ascensive Educa.,ASCENSIVE.BO
Ashima,ASHIMASYN.NS
Aspira Pathlab,ASPIRA.BO
Aspire & Innovat,ASBP
Assoc.Alcohols,None
Associated,ASB
Astra Microwave,ASTRAMICRO.BO
Astral,ASTRAL.NS
