Company,Ticker
21st Cent. Mgmt.,21STCENMGM.NS
Alpa Laboratorie,ALPA.NS
AMJ Land Holdin.,AMJLAND.BO
ANI Integrated,AISL-SM.NS
Arabian Petrol.,ARABIAN-SM.NS
Aries Agro,ARIES.NS
Ashnoor Textile,ASHNOOR.BO
AVI Polymers,AVI.BO
B.R.Goyal Infra.,BRGIL.BO
Beardsell,BEARDSELL.NS
Chandni Machines,CHANDNIMACH.BO
Choksi Imaging,None
Cochin Minerals,COCHINM.BO
Coral Labs.,None
Cyber Media Res.,CMRSL-SM.NS
Dhanalaxmi Roto,DHANROTO.BO
Elnet Technolog,ELNET.BO
Euphoria Infotec,EUPHORIAIT.BO
Ganesh Benzopl.,GANESHBE.BO
GE Shipping Co,None
Glittek Granites,GLITTEKG.BO
Globe Commercial,GLCL.BO
Goyal Associates,GOYALASS.BO
Harshil Agrotech,HARSHILAGR.BO
Hisar Spg. Mills,None
Indian Toners,INDTONER.BO
Indsil Hydro,INDSILHYD.BO
Interactive Fin,IFINSER.BO
Intl. Conveyors,INTLCONV.NS
IZMO,IZMO.NS
James Warren Tea,JAMESWARREN.BO
Jindal Saw,JINDALSAW.NS
Kamanwala Housin,KAMANWALA.BO
Ken Enter.,^KTEAM
KNR Construct.,KNRCON.NS
Mah. Seamless,MAHSEAMLES.BO
Maithan Alloys,MAITHANALL.BO
Mardia Samyoung,MSCTC.BO
Modern Steels,MDRNSTL.BO
N G Industries,HINDNATGLS.BO
Netlink Solns(I),None
New Swan,SWANAGRO.BO
Oswal Agro Mills,OSWALAGRO.BO
P. H. Capital,MOTNF
Par Drugs & Che.,PAR.NS
Parmeshwar Metal,PARMESHWAR.BO
Rajgor Castor,RCDL-SM.NS
RDB Rasayans,RDBRL.BO
RPP Infra Proj.,RPPINFRA.BO
Ruchira Papers,RUCHIRA.BO
S P I C,ST.MX
Seacoast Ship.,SEACOAST.BO
Shelter Pharma,SHELTER.BO
Shreyans Inds.,None
Sudal Industries,SUDAI.BO
Sumedha Fiscal,SUMEDHA.BO
Taparia Tools,TAPARIA.BO
Tatia Global,TATIAGLOB.BO
Transcorp Intl.,None
Ultracab India,ULTRACAB.BO
