Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,222.09,12.72,783.68,21.70,15.89,17.75,108.72,2.04,205.30,8.42,1.75,0.71,0.34,4.99,8.00,7.39,17.15,17.23,17.64,1.04,58.93,3.53,267.48,898.50,0.00,45.04,11.40,98.43,6.00,10.35
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,71.99,1.90,75.59,78.43,30.64,86.98,90.74,0.79,278.05,2.01,14.28,0.04,0.00,6.30,7.00,83.36,73.96,37.87,21.48,11.00,162.31,1.05,165.80,66.95,0.00,64.43,68.47,17.99,4.00,68.93
3B Blackbio,532067,,Healthcare,1704.95,30.50,1463.30,20.95,37.40,15.42,287.37,5.93,601.65,13.16,9.02,0.70,0.00,11.66,5.00,43.29,-31.11,55.98,48.04,8.39,178.51,0.86,1763.82,1397.40,0.00,41.28,4.67,79.77,3.00,13.89
3M India,523395,3MINDIA,Diversified - Large,29680.00,60.24,33449.36,33.04,476.05,24.81,1478.47,20.07,4049.32,75.83,2.19,5.66,0.01,23.24,9.00,13.64,17.50,492.91,14.24,1.52,63.12,1.13,3800.52,32832.21,0.00,75.00,2.31,1183.71,3.00,16.97
A B B,500002,ABB,Electric Equipment,5820.00,65.28,123330.67,38.65,88.33,28.82,333.90,17.43,817.94,94.32,2.04,1.62,0.01,18.93,8.00,15.39,20.68,89.05,44.87,1.70,89.35,21.19,1569.54,117874.73,0.00,75.00,2.16,2880.54,3.00,16.04
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,30560.00,45.91,64940.00,46.23,665.64,35.66,1992.14,15.34,5462.24,48.93,3.39,2.42,0.05,21.39,7.00,22.07,9.26,665.64,45.91,2.76,21.65,2.12,9810.39,63508.75,0.00,74.99,2.99,2984.20,5.00,25.46
ABS Marine,,ABSMARINE,Shipping,128.00,12.96,314.24,20.01,,23.02,86.13,1.49,,,5.31,,0.21,4.38,7.00,19.36,15.14,,13.39,5.31,86.58,2.46,,263.78,0.00,63.42,12.23,33.66,2.00,14.53
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1381.60,16.33,2062.21,57.03,62.88,42.18,193.20,7.15,606.38,19.21,3.88,9.07,0.10,12.60,6.00,22.82,20.74,84.59,30.87,3.88,54.71,1.49,1104.59,2002.23,0.00,74.66,8.71,371.61,6.00,29.87
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,233.55,14.87,491.46,23.66,15.71,18.44,92.57,2.52,180.89,17.31,5.08,0.29,0.01,7.09,5.00,12.50,16.88,15.71,30.75,3.97,89.50,2.10,349.61,441.95,0.00,55.09,9.98,-10.65,4.00,15.26
Adani Power,533096,ADANIPOWER,Power Generation And Supply,565.50,17.11,218109.90,22.52,33.55,25.63,146.09,3.87,332.07,15.46,1.60,0.26,0.70,5.08,8.00,22.68,26.58,33.55,27.70,1.40,84.57,385.69,458.30,251484.89,1.81,74.96,7.83,26713.17,4.00,12.44
ADC India,523411,,Telecommunications - Equipment,1265.40,20.46,582.08,45.23,44.98,33.69,158.04,8.01,468.97,23.59,3.73,0.71,0.00,14.62,8.00,11.58,44.00,61.85,20.46,3.08,57.32,0.46,889.78,532.47,65.00,72.02,7.16,23.20,5.00,22.72
